3;E
33;I
34;A
333;S
334;U
343;R
344;W
3333;H
3334;V
3343;F
3433;L
3443;P
3444;J
33333;5
33334;4
33344;3
33444;2
34444;1
334433;?
343434;.
4;T
43;N
44;M
433;D
434;K
443;G
444;O
4333;B
4334;X
4343;C
4344;Y
4433;Z
4434;Q
43333;6
44333;7
44433;8
44443;9
44444;0
443344;,
